{'episode' 1, 'episode_time_secs' '3.91670298576355', 'episode_steps' '144', 'episode_reward' 0.0, 'reward_min' 0.0, 'reward_max' 0.0, 'reward_avg_by_step' 0.0, 'value_avg' -0.004148183, 'training_time' 3.91670298576355, 'training_steps' '1428'}
{'episode' 2, 'episode_time_secs' '1.5882318019866943', 'episode_steps' '128', 'episode_reward' 0.0, 'reward_min' 0.0, 'reward_max' 0.0, 'reward_avg_by_step' 0.0, 'value_avg' 0.106110685, 'training_time' 5.504934787750244, 'training_steps' '2040'}
{'episode' 3, 'episode_time_secs' '1.764186143875122', 'episode_steps' '135', 'episode_reward' 0.0, 'reward_min' 0.0, 'reward_max' 0.0, 'reward_avg_by_step' 0.0, 'value_avg' 0.084174044, 'training_time' 7.269120931625366, 'training_steps' '2701'}
{'episode' 4, 'episode_time_secs' '1.8637311458587646', 'episode_steps' '132', 'episode_reward' 0.0, 'reward_min' 0.0, 'reward_max' 0.0, 'reward_avg_by_step' 0.0, 'value_avg' 0.06081156, 'training_time' 9.13285207748413, 'training_steps' '3327'}
{'episode' 5, 'episode_time_secs' '2.81767201423645', 'episode_steps' '202', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.009900990099009901, 'value_avg' 0.056209303, 'training_time' 11.950524091720581, 'training_steps' '4327'}
{'episode' 6, 'episode_time_secs' '2.2914719581604004', 'episode_steps' '160', 'episode_reward' 1.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.00625, 'value_avg' 0.08172615, 'training_time' 14.241996049880981, 'training_steps' '4969'}
{'episode' 7, 'episode_time_secs' '2.8086977005004883', 'episode_steps' '201', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.009950248756218905, 'value_avg' 0.12581956, 'training_time' 17.05069375038147, 'training_steps' '5913'}
{'episode' 8, 'episode_time_secs' '1.9249842166900635', 'episode_steps' '134', 'episode_reward' 0.0, 'reward_min' 0.0, 'reward_max' 0.0, 'reward_avg_by_step' 0.0, 'value_avg' 0.1747125, 'training_time' 18.975677967071533, 'training_steps' '6555'}
{'episode' 9, 'episode_time_secs' '2.771061897277832', 'episode_steps' '186', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.010752688172043012, 'value_avg' 0.25064918, 'training_time' 21.746739864349365, 'training_steps' '7428'}
{'episode' 10, 'episode_time_secs' '2.9261839389801025', 'episode_steps' '198', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.010101010101010102, 'value_avg' 0.32937485, 'training_time' 24.672923803329468, 'training_steps' '8353'}
{'episode' 11, 'episode_time_secs' '2.288425922393799', 'episode_steps' '171', 'episode_reward' 1.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.005847953216374269, 'value_avg' 0.37825668, 'training_time' 26.961349725723267, 'training_steps' '9225'}
{'episode' 12, 'episode_time_secs' '2.965336799621582', 'episode_steps' '213', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.009389671361502348, 'value_avg' 0.40718892, 'training_time' 29.92668652534485, 'training_steps' '10227'}
{'episode' 13, 'episode_time_secs' '2.288177967071533', 'episode_steps' '159', 'episode_reward' 1.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.006289308176100629, 'value_avg' 0.41590852, 'training_time' 32.21486449241638, 'training_steps' '10912'}
{'episode' 14, 'episode_time_secs' '3.303873062133789', 'episode_steps' '211', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.009478672985781991, 'value_avg' 0.4233793, 'training_time' 35.51873755455017, 'training_steps' '11916'}
{'episode' 15, 'episode_time_secs' '2.625056028366089', 'episode_steps' '189', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.010582010582010581, 'value_avg' 0.4310192, 'training_time' 38.14379358291626, 'training_steps' '12777'}
{'episode' 16, 'episode_time_secs' '3.3888001441955566', 'episode_steps' '247', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.012145748987854251, 'value_avg' 0.44337118, 'training_time' 41.532593727111816, 'training_steps' '14009'}
